title,Monthly Rent,Floor,description,Furnishing,address,latitude,longitude,Bathrooms,Bedrooms
"Room in a Shared House, London, W12",£780,6th floor,"                                Large room available for single female professional for Â£180 per week including all bills (utilities, Council Tax, internet and weekly cleaner). Room is located on Uxbridge Rd W12 and is approx. 1 min walk to Shepherdâs Bush Market Station and is newly refurbished with new flooring and furniture. Current housemates are Italian and Brazilian female professionals in their late 20s. Room will be vacant from 31/07/23.                            ",Furnished,,,,,
"2 Bed Flat, Vermilion Apartments, E3","£2,850",12th floor,"                                Fantastic location, beautiful views, quiet location on the doorstep of Victoria Park.  This apartment faces directly onto Victoria park and benefits from floor to ceiling windows with tranquil views across the canal to the park. The park can also be viewed from the large terrace that wraps around the side of the property and benefits from sun for most of the day.Inside the 2 bed 2 bathroom (one en-suite), the living room/open palm kitchen benefits from views on to the park. Bosch appliances new. New wishing machine, new dishwasher. In each bedroom built in wardrobes. Bespoke shoe cupboard in hallway, and storage space.Secure car parking space in underground car park is not included but can be rented separately if required.10 mins  walk to Mile End tube station, no 8 bus stop across the road. Perfect for the city, west end or Canary Wharf. Shops and restaurants of Victoria park village and 5 min stroll across the park. Stratford city a pleasant 15 min walk down the towpath. Lovely neighbours, quiet and respectful. Suitable for professional couple or couple with child.                            ",Unfurnished,,,,,
"3 Bed Flat, Arbuthnot Road, SE14","£3,000",7th floor," A beautifully presented bright and airy split level flat with private patio and sunny rear garden set in the Telegraph Hill conservation area. 3 double bedrooms, bathroom and open plan kitchen/living room and  Double glazed sash windows throughout.  Additionally it benefits from shared use of a secluded communal front garden with patio area, as well as being minutes away from the Telegraph Hill park.  Conveniently located for transport with direct access to London Bridge, Overground via New Cross Gate station, and the City or St Pancras via Nunhead station as well as a network of bus routes.   There is free on street parking is available outside.  The property is located near the Arbuthnot/Jerningham intersection.Property is offered furnished SummaryMinimum tenancy is 12 months                            ",Furnished,,,,,
"2 Bed Flat, Rainville Road, W6","£3,683",11th floor,"                                Newly converted warehouse, gated development offer a variety of luxury apartments on the River Thames.Palace Wharf is also conveniently close to a number of transport links including Hammersmith Overground and Underground Station, Barons Court, Putney Bridge, and Fulham Broadway Underground Stations, along with several regular and varied bus services which further improve accessibility.Each Apartment has the highest quality living:- Smart Home audiovisual system- Sound bar systems under ceilings- Digital video door entry system- High ceilings and Crittall double glazed windows- Security 24/7- Lift service- Access to the riversidekitchen:- integrated dishwasher, washer/dryer, full height fridge freezer, oven, hob and integrated extractor fan- Siemens & Miele kitchen appliances- Wine cooler and much more to discoverbedrooms:- Automatic lights, en suite bathroms- Smart Samsung Tv and pre-wiring for Sky- Custom mirrored wardrobesbathrooms:- Under flooring heatings- Both shower and separate bath tub* New build gated development | Riverside location* Warehouse conversion | Interior designed* On-site building manager | Secure parking available* CCTV | Key phone entry system* 24-hour emergency & maintenance service | Available furnished or unfurnished* Flexible rental terms | No agency fees                            ",Furnished,,,,,
"2 Bed Flat, Rainville Road, W6","£4,116",8th floor," 1st floor - 2 bedrooms - 669sq ft - 2 bathrooms â¨CCTV, Available furnished or unfurnished, Lifts, Porter Further benefits of the apartment include a Smart Home audiovisual system, a digital video door entry system, CCTV and high ceilings. Situated on the first floor of a converted warehouse this stunning two bedroom, two bathroom loft apartment facing the courtyard has been interior designed to accommodate luxury living. The apartment comprises an open plan kitchen/ reception room, two double bedrooms with the master benefiting from an en-suite shower room and views to the River Thames, guest bathroom and ample storage. The fully fitted Metris Kitchen is complete with Miele appliances including an integrated dishwasher, washer/dryer, fridge freezer, and a Caple wine cooler. The bathrooms comprise of full bathroom suites with underfloor heating. With its riverside location, Palace Wharf is also conveniently close to a number of transport links including Hammersmith Overground and Underground Station, Barons Court, Putney Bridge and Fulham Broadway Underground Stations, along with several regular and varied bus services which further improve accessibility.  All our tenants benefit from a dedicated building manager who is on hand to assist with any property related issues. We also employ a dedicated team of maintenance experts and provide a 24-hour emergency helpline.Palace Wharf was built in 1907, replacing a malt house. An extension facing Rainville Road was added in 1933. For many years the wharf was the âRathbone Worksâ of fibrous plaster firm, George Jackson & Sons, founded in Rathbone Place off Oxford Street in the early 19th century. Jacksonsâ made the new plasterwork for Hammersmithâs rebuilt Lyric Theatre. Prior to the Second World War, Jackson's moved from their original home in the West End to Hammersmith, keeping the Rathbone name for their spacious new premises. Interior designedNew build gated developmentAvailable furnished or unfurnished | Pet Friendly Dedicated Building Manager | Superfast Broadband 24 hour emergency helpline serviceNo agency fees when dealing directly with the LandlordTerraces and outside spaceRiverside apartments with viewsNew build gated developmentOn-site Development ManagerPet Friendly16 luxurious one, two and three bedroom apartments ",At tenant choice,,,,,
"2 Bed Flat, Caravel Close, E14","£1,900",18th floor," NEWLY REFURBISHED TWO BEDROOM APARTMENT IN SECURED DEVELOPEMENT**  We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location.    Situated opposite Sir John McDougal Gardens and river Thames, it is minutes away from Canary Wharf, Cross Harbour, West Ferry with great links into the city. Canary Wharf station is 7 minutes by bus and 15 minutesâ walking.  Bus stops just 1 minute away with ample bus services to Canary Wharf and surroundings. Tesco and other local shops minutes walk away  Available to move in from 1st July 2023, this property benefits from secured, gated, and allocated residents parking space.  New wooden laminate flooring throughout the property.  New Kitchen and Bathroom.  Installed with a new dishwasher, new radiators, there is fridge freezer, washer dryer, microwave, kettle, coffee maker, blender, food processor. Property is offered with fully  furnished kitchen and can provide beds if requiredThe property is perfect for working professionals who can walk to Canary Wharf, or travellers who would like a quiet base to relax in. Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! ",At tenant choice,,,,,
"Room in a Shared Flat, Point Pleasant, SW18",£925,9th floor,"                                A good-sized double room available from 29th July 2023 in a comfortable flat with shared living space, but EXCLUSIVE use of the ""family"" bathroom.My home is pretty much as pictured at all times and suitable for a (preferably female) professional who wants a calm, quiet & tidy place to live. (it's not really ideal for long term/frequent WFH). I try to keep the flat an âoutdoor shoe-free zoneâ. The flat is non-smoking, but there are two lovely communal terraces, as well as the garden, which can be easily accessed should you wish to.I am a friendly, busy person who works nearby, and respectful of a lodgers privacy. I would be looking for someone fairly independent to share my home with, but happy to have the occasional Netflix & pizza binge/coffee/pub quiz/walk along the river/gym buddy.The flat is located close to the River Thames and Wandsworth Park, with plenty of shops, gyms, cafÃ©s, restaurants and cinemaâs within walking distance. Wandsworth Town mainline (zone 2) and East Putney tube (District line, Zone 2/3) are each less than 15 minutes walk. There are numerous local bus routes close to the A3 and South Circular. Only a two min walk to a River Bus stop.All Bills included (electric, water, broadband/WiFI, Council Tax and weekly cleaner)Evening or weekend viewings preferred (or virtual!).                            ",Furnished,,,,,
"1 Bed Flat, Rosebank, SW6","£3,975",15th floor,"                                A fantastic bright, modern flat with breathtaking views of the River Thames and of London.Very spacious: large living / dining with patio doors to the balcony, bright kitchen with full range appliances, spacious double bedroom, newly decorated bathroom, shower room.Rent includes weekly cleaning.Located in a riverside development it has quick access to the river walk and to Bishops Park. Local shops, Waitrose, Sainsbury's and Tesco are all a 5-10mns walk.The spaceThe flat is decorated to very high standards and with designer furniture. It has panga-panga floor throughout, chaise longue by Kita Toshiuki, white leather Roche Bobois sofa, Kartell chairs, Flos bed and Tempur mattress.Every room has an amazing view, the flat is South facing and has sun from sunrise to sunset. You can watch the sun rising sipping a coffee in bed, have lunch on the balcony overlooking the river, and have a drink on the balcony watching the sunset.The flat is peaceful and quiet and the atmosphere is really relaxing.This is London at its best!Guest accessYou can enjoy amazing walks on the river and yet Piccadilly is a 15mns tube from Hammersmith Station (about 1 mile from the flat).                            ",Furnished,,,,,
"1 Bed Flat, Heylyn Square, E3","£1,650",8th floor," Superb, fully-refurbished, 5th floor, spacious one-bedroom flat  - 517 sq/ft!Car parking space available!ENJOY a fantastic location:15 minutes to City.12 minutes to Canary Wharf.No through street = no traffic. Very very quiet.- Fully refurbished, professionaly decorated.- Modern kitchen, with plenty of storage.- NOT OPEN plan, kitchen and living space segregated- Fiber Optic Internet available -It is bright thanks to the window overlooking the London Skyline.-High spec appliances including a washing machine, a large fridge, microwave, a gas hob and oven- 2 LIFTS AND 2 STAIRS ON either side with SECURE PHONE entry- caretakers clean building communal Monday to Friday- double glazing, EPC C !- Modern clean bathroom with new fixtures including a very spacious bathtub with thermo-tap. The fan is extremely quiet too.- Two storage rooms. One can be used as home office.- The bedroom is very spacious and also ideal for storage. The room is also very quiet, overlooking another green space and trees.- The living room is very bright and spacious.- Quiet neighbours. Zero traffic.- Professionally insulated (acustic + heat).- 3 minutes from Tesco, Iceland, Roman Road market, fancy cafes, restaurants and shops 4 minutes walking distance to Bow station (Hammersmith and City, District)5 minutes from Mile End station and Bow Church (Central and DLR)6 minutes from Victoria Park                            ",At tenant choice,,,,,
"1 Bed Flat, Heylyn Square, E3","£1,700",7th floor,"                                We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.Available to move in from 22 June 2023, this property benefits from available parking. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£1,700.00 per month (Â£392.31 per week)Deposit / Bond is Â£1,700.00Minimum tenancy is 6 monthsMaximum number of tenants is 2                            ",Furnished,,,,,
"Room in a Shared Flat, Thornfield House, E14",£950,17th floor," This large comtempory apartment boast a modern decor throughout with designer kitchen and spectacular views from all windows.This stylish city apartment is a perfect place to call home. The property is fully furnished and decorated in a tasteful modern finish throughout.The kitchen is fully equipped with dishwasher, fridge freezer, cooker and washing machine. The apartment benefits from gas central heating throughout.There are two very spacious double bedrooms available for rent in this three bedroom maisonette flat. All bedrooms are offered furnished with a double beds, chest of drawers, wardrobe and bedside cabinet with lamp. All utilities are included within the Rent, including superfast internet,  bi-weekly professional cleaning service of the communal areas, as well as the option to have the bedroom areas cleaned and personal clothing items ironed. Combi-Boiler providing instant hot water.Situated next to excellent transport links - West Ferry, Canary Wharf are both a few minutes walk, provigind commuter links into Central London. Ample supermarkets, bars and restaurants are all in walking distance. ",Furnished,,,,,
"2 Bed Flat, Putney Bridge Road, SW18","£2,350",8th floor,"                                We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location.Available to move in from 23 July 2023. Property is offered unfurnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£2,350.00 per month (Â£542.31 per week)Deposit / Bond is Â£2,711.53Minimum tenancy is 18 monthsMaximum number of tenants is 2                            ",Unfurnished,,,,,
"1 Bed Flat, Wilmer Place, N16","£2,150",6th floor," Amazing 1 loft duplex apartment with sunny large terraceBright 50 squared meter loft duplex apartment ideal for a single or a couple. Kitchen/living room/terrace on the first level all in one open space and double height with direct access to a large sunny terrace. Bedroom/bathroom are located on the second level in a mezzanine style set-up with built in custom furniture with large storage space. The flat includes all furniture and amenities you may need to live comfortably, including bbq, sofa bed, tv, plenty of storage and a really comfortable bed. The flat is located in a young and friendly medium size building (just 35 flats) on the 2nd floor (no lift) and has a concierge 5 days a week. It is a friendly pet apartment, but just cats are allowed.All amenities are included in the price (High speed Internet, water, electricity, gas, building maintenance gym AND concierge available 5 days a week,â¦). Just TV license and council taxes are NOT included in the price advertised.Located in a new build in an offshoot of the vibrant and popular pedestrian Stoke Newington Church Street where you can find many restaurants, groceries and local fashion shops,... It is located in a really quiet street and it is 6 minutes walking distance to the Stoke Newington overground station which will connect you with popular areas as Hackney Wick in few minutes and 15 minutes to Liverpool street station. Also several bus lines will get you in 10 minutes to Seven Sisters underground station (Victoria and Northern lines).Based on needs there is a bit of flexibility about two things:Start date. Ideally starting in SeptemberFurniture. The flat's kitchen is fully equipped (including dishwasher and washing machine), and there is a sofa bed on the first level and outdoor seating furniture. VIEWINGSI will organise in-person viewing on Thursday 27th and Friday 28th of July 2023.                            ",Furnished,,,,,
"3 Bed Flat, Clarence Road, E5","£3,200",18th floor,"                                A beautifully renovated three bedroom split flat located in Clarence Road, Hackney.Benefits include double glazing, two bathrooms, central heating, laminated flooring and a communal garden.Clarence Road is a short distance from the fabulous array of cafes and bars within Hackney. A short walking distance from a host of amenities on Lower Clapton Road, Chatsworth Road and Mare Street and moments from the Hackney Downs Park, Clapton, Hackney Downs and Rectory Road rail stations.Transport links include, Hackney Downs Station (Overground), Hackney Central Station (Overground) and a variety of Bus routes into The City & West End.The property is located on the 3rd floor (no lift) and offered fully furnished. Available to rent from the 13th of August!                            ",Furnished,,,,,
"Room in a Shared Flat, Unit B5, E14","£1,090",8th floor,"                                ð  Private Double Bedroom in Shared Flat in Canary Wharf ð³Welcome to your perfect home in Canary Wharf, London! ð We are delighted to offer you a private double bedroom in a shared flat that combines comfort, convenience, and affordability. Located only 15 minutes away from the station by walk, this spacious room is available for just Â£1090 a month. ð¶âï¸ð·Upon entering the flat, you will immediately feel the warm and inviting atmosphere. The shared living area is tastefully furnished, providing a cozy space to relax and socialize with your flatmates. Whether you're watching a movie, having a friendly chat, or studying, this common area will be the heart of your social interactions. ðï¸ðºðYour private double bedroom is a sanctuary within the bustling city. It is meticulously designed to offer you a tranquil and comfortable retreat. The room is furnished with a plush double bed, a spacious wardrobe to store your belongings, and a study desk for your work or study needs. ðï¸ðªð¼One of the highlights of this accommodation is the garden space that comes with it. The serene outdoor area provides a refreshing escape from the urban environment, where you can unwind, read a book, or simply enjoy a cup of coffee surrounded by nature. ð¿âðºLiving in Canary Wharf offers a multitude of advantages. Besides the close proximity to the station, you'll have easy access to a variety of amenities, including trendy cafes, restaurants, shopping centers, and leisure facilities. Additionally, the area is known for its stunning waterfront views and beautiful parks, perfect for taking a stroll or engaging in outdoor activities. ðï¸ð½ï¸ðï¸ðï¸Don't miss out on this fantastic opportunity to live in a private double bedroom in a shared flat in Canary Wharf. With its affordable price, convenient location, and garden space, it's the perfect place to call home in one of London's most vibrant neighborhoods. ð â¨ð                            ",Furnished,,,,,
"2 Bed Flat, Montrose House, E14","£2,300",15th floor,"                                I am proud to present this ground floor ex local located close to Cross Harbour. The flat comprises of 2 generous size double rooms and a living ( can be used a 3rd) , a bathroom , seperate toilet and kitchen.The flat is available asap and looking for a group to move in ASAP.                            ",Furnished,,,,,
"1 Bed Flat, Ravenslea Road, SW12","£2,075",3rd floor,"                                We are proud to offer this delightful spacious one-bedroom ground floor Flat with its own Private Garden situated in Balham on the popular Ravenslea Road. Property comprises of Communal Main door leading to the Front door and hallway. To the front of the property there is a large bedroom with fitted wardrobes. To the Hallway there are a few steps down leading to a generous sized Living Room with Double French doors leading to a large private garden. Brand new fitted Kitchen and Brand New fitted bathroom. The flat also benefits from a Cellar.Other Features:  Full Gas Central Heating Street Parking AvailableLocated within close proximity of Wandsworth CommonSituated within the highly desirable Nightingale TriangleNear Balham Mainline, Balham Underground and Wandsworth Common Mainline stationsClose to the amenities local to Balham, Wandsworth Common and Bellevue Road Available to move in from 01 September 2023, Property is offered unfurnished.* The flat is being fitted with a new kitchen and new bathroom hence why the move in date is 1st of September 2023. Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent Â£2,075.00 per month (Â£478.85 per week)Deposit Â£2,394.23Minimum tenancy is 12 monthsMaximum number of tenants is 2                            ",Unfurnished,,,,,
"2 Bed Flat, London, SW12","£2,800",4th floor," Lovely, contemporary 2 bedroom, 2 bathroom G/F spacious flat with large patio outdoor space. Recently refurbished with brand new kitchen and ceiling skylights, offering plenty of natural light.  Quiet, residential area ~ only a stone's throw from all the amenities of Balham, Clapham Junction, Northcote Road and just 1 minute away from the gorgeous Wandsworth Common.Located on the edge of Wandsworth Common on a residential road in the heart of the prestigious Nightingale Triangle. Perfect for walks, runs and cycles and relaxing in cafes in the park. Refurbished 2 years ago, the flat is modern, high-spec and spans over 1,100+ square feet; ideal for an individual or a couple of two. The flat offers plenty of storage space within each bedroom, in the living/dining areas, and has a large cellar(!) to store equipment, white goods, luggage, bikes, etc.Please note this is a short-term let of up to 5 months.  Available between 15 October - 1 March 2024. Minimum term 3 months. Rent includes all bills.  Only serious enquiries please.You are:- 1 min walk from Wandsworth Common for those who enjoy running, walks or cycles in the park.- 2 mins walk from Wandsworth Common train station.  Be in in Battersea Park in 5 minutes, Victoria within 10 minutes and Gatwick Airport in 35 minutes.- 5 mins walk from Balham/Balham tube (Northern line) and Balham train, with plenty of shops, restaurants and cafes.  Nearest supermarkets are a large Waitrose, Sainsburys and Aldi as well as boutique cafes and great brunch/dinner spots.- 7 minutes walk from Northcote Road, the âNappy Valleyâ of Battersea.- 10 minutes from Clapham Junction train station, a national transportation hub.Available between 15 October - 1 March 2024.  Minimum term 3 months.  Rent includes all bills.  Only serious enquiries please. No pets or smokers.  Maximum two individuals.  The property has previously been let with excellent reviews from all tenants.If you are serious about a viewing, please pop me a message including basic details (who you are (e.g. couple or individual), age, profession and when you'd be looking to move.  We can then do a brief Zoom meeting or call before arranging a viewing. ",Furnished,,,,,
"2 Bed Flat, Block Wharf, E14","£2,400",1st floor,"                                Two bedroom two bathroom flat with balcony. Close to South Quay station and Canary Wharf station.It is on the 6th floor and there is a lift located in the building. There are security cameras monitoring the reception area 24/7.Close to the pier with a nice walk along the water, and there are local cafes and restaurants.Available from the 7th of August.                            ",Furnished,,,,,
"Room in a Shared Flat, Block Wharf, E14",£980,16th floor," DOUBLE ROOM IN THE HEART OF CANARY WHARF REF: Block D  *****ROOM ONLY*****SINGLE USE  Block Wharf, 20 Cuba street, E14  Cozy Double room in Canary Wharf   CANARY WHARF SHOPPING CENTRE 7min WALKING DISTANCE4 bedrooms 1 ensuite, 2 bathrooms (ROOM ONLY)   5mins walk from Heron Quays DLR Station 9mins walk from Canary Wharf Underground Station and Elizabeth Line 8mins walk from South Quay DLR Station   Easy commute to all the city by Tube, DLR or Bus all around you. D8 - 135 - 277 - D7 - N277 Canary Wharf is London's central business district, just east from the centre of the capital in Zone 2. It boasts many towering office buildings and luxurious residential properties that overlook the River Thames and many of the city's most notable landmarks, such as One Canada Square. Discover Canary Wharf with us.    PERFECT FOR YOUNG PROFESSIONAL AND STUDENTS   Easy access to City Centre PLENTY OF LOCAL AMENITIES CLOSE BY: Shops, Gym, Restaurants, Cinema, Post Office Just Â£830   Bills Included: -Gas -Electric -Water -Internet -Maintenance 24/7 -24/7 Assistance -Emergency Line   Professional cleaning service (WEEKLY)   Contact me for more information or book it Sergio  ",Furnished,,,,,
"Room in a Shared Flat, Block Wharf, E14","£1,000",7th floor,"                                We are proud to offer this delightful double bed room, in a shared flat in a great location.Canary Wharf Heron Quay, excellent location for professionals working in the Wharf or the CityThe property location is excellent to go to city centre quick. Few mins to Canary wharf station and Heron Quay/South Quay station. 15 mins to Bank station, 22 mins to Green park,25 mins to Bond street,15 mins to Stratford.* Double bed room Â£230 per week, Â£1000/month , Available to move in from 15th Aug 2023 * Partial Bills included(water, council tax, wifi, no gas),  electricity shared by all flat mates* Hyperoptic 1GB super fast broadband* Beside NOVOTEL hotel, 5 minutesâ walk to South Quay, Heron Quay, Canary Wharf Station* Opening kitchen, fully fitted kitchen with everything you need.* Restaurants around, nearby Tesco, ASDA* Property is offered furnished.* Working Professional preferred * Mandarine speaking preferred * Short Stay allowed If you are interested/need a viewing/need more detail. To arrange a viewing, send messages, or contact)Viewing is available anytime with proper noticeWechat: Winxp32                            ",Furnished,,,,,
"3 Bed Maisonette, Charlotte House, W6","£2,950",15th floor,"                                We are proud to offer this delightful 3 bedroom, 1 bathroom maisonette in a great location.Available to move in from 02 September 2023, this property benefits from available parking, and garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£2,950.00 per month (Â£680.77 per week)Deposit / Bond is Â£2,950.00Minimum tenancy is 6 monthsMaximum number of tenants is 6                            ",Furnished,,,,,
"3 Bed Maisonette, Charlotte House, W6","£2,950",14th floor,"                                We are proud to offer this delightful 3 bedroom, 1 bathroom maisonette in a great location.Available to move in from 02 September 2023, this property benefits from available parking, and garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£2,950.00 per month (Â£680.77 per week)Deposit / Bond is Â£2,950.00Minimum tenancy is 6 monthsMaximum number of tenants is 6                            ",Furnished,,,,,
"2 Bed Flat, Gainsborough House, E14","£2,875",2nd floor," GainsboroughHouse, Cassilis Road, London, E14 2 bedroom apartment fully furnishedMain Features-      2 Double Bedrooms Apartment-      677 Square Feet-      2 Large Bathrooms-      Large Open Plan Lounge-      Fully Fitted Kitchen-      Private Balcony-      Residents Gym and Sauna-      Residents Swimming Pool-      Great Local Amenities-      Excellent Transport Links-      SouthQuay DLR Station 2 minutesProperty Description:This is a stunning 2 bedroom apartment in a close proximity to Canary Wharf in a very sought after development and available fully furnished. This apartment comprises of two bright and spacious bedrooms, two modern fitted bathrooms, one of them is an en-suite for the main bedroom.It has a bright and spacious lounge with floor to ceiling windows which opens up to a private balcony. There is a fully fitted kitchen with integrated appliances along with a dishwasher. It has been renovated last year with new wooden floor in the lounge and hallway, new  carpet in the bedrooms. It is presented beautifully and a very good standard. The Canary Central development is well located for commuting and the shops, restaurants and banking institutions of Canary Wharf.  It comes with a residential gym, swimming pool and a 24 hours concierge service.  South Quay DLR station is only minutes away from the property with Canary Wharf A private underground parking is available at a slight premium.Service charge contribution                            ",Furnished,,,,,
"4 Bed Semi-Detached House, Leigh Gardens, NW10","£4,250",13th floor,"                                We are proud to offer this delightful 4 bedroom, 2 bathroom semi-detached house in a great location.Available to move in from 01 September 2023, this property benefits from available parking, and garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£4,250.00 per month (Â£980.77 per week)Deposit / Bond is Â£4,903.84Minimum tenancy is 12 monthsMaximum number of tenants is 5                            ",Furnished,,,,,
"Room in a Shared House, Pembridge Place, SW15","£1,050",8th floor," It is gated development in Putney.Furnish bedroom with your own bathroom. Available before 18 of August. To share with 3 professional, polite and respectful people with consulting jobs.It is 4 bedroom 3 bathroom modern house.It is 6 minutes walk from East putney tube station. House has.4 bedroom 3 bathroom.Sitting roomBig kitchen / dinner.Garden.It is convenient location lots of shops, cafes, restaurant.3 minutes walk to the park, river and tennis court. 4 min walk to Waitrose 6 min walk to putneyRail Station 6 min walk to East putney tube.10 min train to Waterloo Bus routes to Wimbledon, Clapham, Kingston, Richmond, Clean and tidy house/ cleaner provided.Bright and airy room.Quiet and safe neighbourhood.All bills included: Council Tax TV licence Gas Electricity Water Broadband Wifi Internet Cleaning communal place.To share with 3 professional very nice friendly, polite and respectful people. To arrange a viewing please write and you can view any time convenient for you.Thank you.landlady. ",Furnished,,,,,
"7 Bed Semi-Detached House, Rossiter Road, SW12","£7,500",3rd floor,"                                I am super proud to offer this beautifully presented seven bedroom house just a short walk to Balham Train Station. Very ideal for professional sharers and large families. Comprising 7 bedrooms, 3 bathrooms and 2 kitchens. This property offers ample living space and further benefits from a private rear family sized garden. Situated on a sought after road just a short walk from local shops, bars and cafÃ©s surrounding Balham High road and the open spaces of Tooting Bec Common. Transport links from Balham are excellent with frequent trains running to London Victoria and Clapham Junction, for northern and central line connection.Available: 01/09/2023MUST HAVE UK GUARANTOR                            ",Furnished,,,,,
"4 Bed Maisonette, Fieldhouse Road, SW12","£3,250",11th floor," A newly renovated spacious maisonette with an open plan fully equipped kitchen and reception room with ample living and dining space leading to a private garden. Four double bedrooms, master has bay window and wooden floors, all bedrooms are fully furnished with new wardrobes and drawers and plenty of storage space. The property comes with a white bathroom and power shower. Located in the heart of Balham close to transport  and shopping facilities, restaurants, and recreational areas. Tooting Bec Common is a ONE minute walk away. This property is ideal for professionals looking to move into this popular area.Spacious first floor maisonette in beautiful Edwardian terrace with period featuresLanding leading to a recently refurbished open plan modern Breakfast kitchen and living area. Brand new carpets are throughout the flat Master bedroom with bay window, wooden floors and brand new wardrobes and drawers Second bedroom with built in basin area, wardrobes and drawersThird bedroom with wardrobes and drawers Fourth bedroom with brand new wardrobeVery good storage areasCarpets on landing, wooden floors in living area, tiles in bathroomPrivate EntrancePrivate Garden One minute walk from Tooting Bec Common Gas central heatingKitchen has access to stairs leading down to a private gardenExcellent transport links: easy walking distance to Balham underground Northern line services and Balham train stationNumerous bus routes available through BalhamLovely park at the end of the roadEasy access to London airports (Gatwick, Heathrow and City)Walking distance to open spaces of the CommonOff street parkingAvailable from 26th  August 2023 ",Furnished,,,,,
"6 Bed Maisonette, Rossiter Road, SW12","£6,350",13th floor,"                                This six double bedroom maisonette is just 0.5 miles away from Balham Station. To the ground floor there is a spacious lounge leading on to a larger than average kitchen as well as two generous double bedrooms. The property boasts six double bedrooms, three bathrooms and open plan kitchen/lounge.Situated on a sought after road just a short walk from the shops, bars and cafÃ©s surrounding Balham High road and the open spaces of Tooting Bec Common. Transport links from Balham are excellent with frequent trains running into Victoria and Clapham Junction, as well as the northern line.EPC Rating EWandsworth Council Tax Band G.ALL TENANTS MUST HAVE A GUARANTOR WHO IS A UK HOMEOWNER TO PASS REFERENCING!                            ",Furnished,,,,,
"1 Bed Flat, Heyworth Road, E5","£1,900",3rd floor," DESCRIPTIONA cleverly designed 1 bedroom flat, part of a Victorian end of terrace conversion, located at lower ground floor level on a quiet no-through-road, 100m from Hackney Downs park and ideally situated for access to public transport and local amenities.   Finished to an excellent standard with neutral decor, solid oak and limestone flooring and custom built furniture and fittings. Plenty of storage space throughout.LOCATION3 minutes walk to Clapton Pond for local shops/cafÃ©s and buses for the City, West End, Stratford and Angel.12-15 minutes walk to Clapton, Hackney Downs and Rectory Road overground stations for fast connection to Liverpool Street. 15 minutes walk (or quick bus ride) to Hackney Central for London Overground to East and West London.River and canal walks/bike rides, nature reserve and Hackney marshes are all nearby. Entrance through secure gates, with intruder alarm. DETAILSThe flat comprises entrance through stable door into kitchen with large fridge/freezer, dishwasher, microwave, washing machine, small table and lots of cupboards; double bedroom with a full wall of built-in wardrobe space; bathroom with bath, shower over bath and under-floor heating;  sitting room with French doors opening on to own decked patio.The flat is furnished with bed and dressing table/desk. A sofa, table and chairs and coffee table can be provided.Permit street parking available and there is space for a bike to be securely stored outside the flat.Would make a lovely home for a house-proud, clean, respectful, non-smoking professional single person or couple.Rent is exclusive of council tax (Band B) and electric. Gas is included. Deposit Â£2000, rent payable one month in advance                            ",At tenant choice,,,,,
"Room in a Shared Flat, Windmill House, E14","£1,020",5th floor," DOUBLE ROOM IN CANARY WHARF / ISLE OF DOGS REF: Windmill D *****ROOM ONLY*****SINGLE USE Windmill House E14 3ED  Double Room in a 4 Bedrooms Flat 2 Full Bathrooms   ONLY 10min FROM CANARY WHARF    4 bedrooms, 2 full bathroom (ROOM ONLY)   10mins walk from Madchute DLR Station 15mins walk from Crossharbour DLR Station 11min From Canary Wharf    Easy commute to all the city by Tube, DLR or Bus all around you. 135 - 277 - D7 - N277   - University of Greenwich just 15min away. - Madchute Park and Farm just 10m away.   PERFECT FOR YOUNG PROFESSIONAL AND STUDENTS    Easy access to City Centre PLENTY OF LOCAL AMENITIES CLOSE BY: Shops, Gym, Restaurants, Cinema, Post Office Just Â£920   Bills Included: -Gas -Electric -Water -Internet -Maintenance 24/7 -24/7 Assistance -Emergency Line   Professional cleaning service (WEEKLY)   Contact me for more information or book it Sergio  ",Furnished,,,,,
"1 Bed Flat, Bellmaker Court, E3","£2,000",4th floor,"                                Stylish accommodation in a secure gated development moments from a wealth ofamenities, this elegant 1 bedroom, 2nd floor apartment offers neutral dÃ©cor, secure entryand well presented interiors.KEY FEATURESâ¢ Stylish 1 bedroom 2nd floor flatâ¢ Spacious reception room with bright interiorsâ¢ Generous bedroom with fitted wardrobesâ¢ Modern bathroomâ¢ Open plan kitchen with integrated appliancesLOCAL AREABellmaker Court is located close to a range of local amenities and the green open spaceof Mile End Park is also within easy reach.Devons Road DLR StationDLR line, Zone 2Langdon Park DLR StationDLR line, Zone 2Bow Road Underground StationDistrict Hammersmith & City lines, Zone 2                            ",Furnished,,,,,
