title,description,Deposit,Rent PCM,Bills Included,Broadband,Student Friendly,Families Allowed,Pets Allowed,Smokers Allowed, DSS/LHA Covers Rent  ,Available From,Minimum Tenancy, Online Viewings      ,Garden,Parking,Fireplace,Furnishing,EPC Rating,station_distances, DSS Income Accepted  ,Maximum Tenancy,Students Only,EPC Not Required
"5 Bed Flat, Leroy Street, SE1"," Stunning modern 5 bedrooms 2 bathrooms furnished flat with a private balcony near London Tower Bridge. Available from 30th August 2023. No water or gas bills. Easy access to excellent public transport and cycle lane network and out of the congestion charge zone.An HMO-licensed secure home for professional sharers. Let as a single unit (not room by room). This purpose-built flat is in a well-maintained 3-story private building with an entry phone system, secure gated entry, cycle parking, and an optional secure garage. All rooms are fitted with smoke and/or heat alarms and a sprinkler in the kitchen lounge area.The main bathroom includes a shower, bath, and a heated towel rail.The second modern bathroom with a power shower and heated towel rail.Open plan lounge with 2 sofas (3+2) and TV table with a patio door opening to the rear-facing private balcony.Fully fitted kitchen (fitted cupboards, a double oven, hob, washer-dryer, dishwasher, freestanding tall fridge freezer, a small Fridge freezer, bar table, and bar stools).A small storage room and an airing cupboard.Lockable garage within the gated entry (optional - extra rent).Tenants pay for the electricity (part Economy 7) and council tax. No gas or water bills.EPC. BGreat location: Off Tower Bridge Road SE1 and just 15 min walk to the Tower Bridge. Short walk to Tesco Express, Sainsbury's Local, Lidl, Cost Cutter, Greggs, Barclays Bank, Borough market, pharmacy, post office, dry cleaners, hairdressers, lots of cafes, restaurants, and takeaways, King's College London, Guy's Hospital London and London Bridge Hospital.Excellent public transport, both buses and nearby stations:Buses: From Tower Bridge Road, Great Dover Street, and Old Kent RoadStations: London Bridge: Thames Link, Bakerloo, and Northern and British Rail station.               Elephant & Castle: Southern, Jubilee, and Northern              Borough: Northern Line.(London Bridge station serving direct trains to St.Pancras International, Charing Cross, Gatwick, and Luton airports)No Pets. No Smokers. No Agencies Please.  ","£5,480.76","£4,750.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,,No,No,No,Furnished,B,"[['                                        London Bridge                                    ', '                                        16 minute walk                                    '], ['                                        Borough                                    ', '                                        17 minute walk                                    '], ['                                        London Bridge                                    ', '                                        18 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        19 minute walk                                    ']]",,,,
"4 Bed Maisonette, Goldthorpe, NW1"," Rare extra large apartment available for rent in the heart of Camden Town3 large double bedrooms and 1 small double bedroom.large modern kitchen/diner, bathroom/shower, cloakroom/wc spread over two floors.New carpets throughout.Fantastic location in the heart of Camden, in between Camden Town and Mornington Crescent station.Excellent location for students attending UCL, LSE, London Business School and other Local universities.  These are within walking distance or a few minutes on the bus (bus stop literally at your doorstep!).Please view the linked youtube video below for further information.2Landlord pays service charge which includes central heating.Deal direct with landlord for this property, so no agency fees.Arrange a viewing and find out more. ","£4,269.23","£3,700.00",No,             View Offers         ,No,No,No,No,No,"15 August, 2023",12 Months,No,No,No,No,Furnished,D,"[['                                        Mornington Crescent                                    ', '                                        6 minute walk                                    '], ['                                        Camden Town                                    ', '                                        7 minute walk                                    '], ['                                        Camden Road                                    ', '                                        8 minute walk                                    '], ['                                        London St Pancras International LL                                    ', '                                        15 minute walk                                    ']]",,,,
"2 Bed Flat, One Tower Bridge, SE1","                                Stunning 2 bedroom flat in the prestigious One Tower Bridge development. Designed by the award winning architects, Darling Associates, this apartment is truly unique with spectacular views of London's skyline. This two bedroom apartment has floor to ceiling double glazed windows allowing maximum light in and also emphasising the feeling of space. The highest quality fittings and utilities have been installed, including Miele kitchen appliances, under floor heating and comfort cooling and home automated system for lighting and blind control. The primary bedroom suite comprises a spacious bedroom, dressing room and luxury en-suite the second bedroom also has built-in full height fitted wardrobes. Stunning views towards the river, City Hall and Tower Bridge and the City. Other benefits include concierge, stunning communal gardens, swimming pool, sauna, gym and golf simulator. Accommodation comprises 2 bedrooms, 3 bathrooms, 1 reception room/kitchen area. This executive flat offers the highest level of security and luxury, moments from London Bridge Station.Available on a furnished basis. EPC C.                            ","£6,999.23","£6,066.00",No,             View Offers         ,No,No,No,No,No,"05 August, 2023",12 Months,No,No,No,No,Furnished,C,"[['                                        London Bridge                                    ', '                                        10 minute walk                                    '], ['                                        London Bridge                                    ', '                                        10 minute walk                                    '], ['                                        Tower Hill                                    ', '                                        13 minute walk                                    '], ['                                        Tower Gateway                                    ', '                                        16 minute walk                                    ']]",,,,
"1 Bed Flat, Palmer Road, SW11"," Luxurious One Bedroom Apartment on the 5th FloorPrestigious Prince of Wales Development in Zone 1 Dressing area/Dual built-in wardrobes in the bedroomDouble layer blinds to ensure privacyFully integrated Siemens kitchen appliancesUnderfloor heating and Cooling system throughoutApprox 59 sqm/633 sqft (including balcony area)Ample built-in storageResidents only Gym, 17-meterSwimming Pool, & Roof Terrace24 hr Concierge ServicesOn-site supermarket, cafÃ©, and otheramenitiesA few minutes walking distance to Battersea Park station, Queenstown Road station, and local bus stops.Battersea Park, local Leisure centre and iconic Battersea Power Station on your doorstep  ","£3,455.76","£2,995.00",No,             View Offers         ,No,No,No,No,No,"04 August, 2023",12 Months,No,No,No,No,Furnished,B,"[['                                        Battersea Park                                    ', '                                        4 minute walk                                    '], ['                                        Battersea Power Station                                    ', '                                        5 minute walk                                    '], ['                                        Queenstown Road (Battersea)                                    ', '                                        7 minute walk                                    '], ['                                        Wandsworth Road                                    ', '                                        21 minute walk                                    ']]",,,,
"2 Bed Flat, John Ruskin Street, SE5","                                An extremely spacious and modern two double bedroom ground floor flat located near Elephant and Castle (Zone 1), Oval, Kennington (Zone 2) and Camberwell is available to rent.Key features:-Excellent transport links - Oxford Circus, Piccadilly Circus, Kings Cross, London Bridge, Bank, Holborn, Liverpool Street are all only around 10-15 minutes away from the nearest underground station!Trains: Elephant & Castle (Zone 1) and Oval (Zone 2) tube stations are approximately a 10 minute walk or a short bus ride away allowing access to the Bakerloo line and Northern line as well as the Thameslink line direct to Kings Cross (Eurostar), Gatwick and Luton Airports. Buses: Many buses and night buses stop outside only two minutes away from the flat (12, 35, N35, 40, 42, 45, 68, N68, N89, N136, 148, 171, N171, 176, N176, 468, P5) travelling directly into Central London (Piccadilly Circus, Oxford Circus, Covent Garden, Holborn), the City (St Paul's, Bank, Liverpool Street, Hoxton, Shoreditch), Notting Hill, Clapham, Kings Cross, Victoria, London Bridge and Waterloo-Situated in a newly built apartment block-A massive open plan living space-Own entrance-Ample storage space-On street parking with parking permits available-Double glazed windows throughout-Fully fitted kitchen with fridge/ freezer, dishwasher, washing machine, oven and hob with extractor hood-Modern bathroom -Wooden flooring in the reception / kitchen, carpeted bedrooms-Available either furnished or unfurnished-Managed by a friendly, reliable landlord who can be contacted seven days a week-No agency fees to pay as this is a private letting- Convenient location - close (walking distance) to the following local shops and amenities:Shops: Marks and Spencer, Argos, Boots, Superdrug, Tesco Express, Morrison's, Iceland, Holland and Barrett, Blockbuster, Carphone Warehouse, Phones 4U), W H SmithBanks: Natwest, Barclays, Nationwide, Abbey National, HSBCPost OfficeFitness First Gym, Burgess Park tennis courtsRestaurants and cafes (Italian, Thai, Indian, Chinese, Middle Eastern, South American, French)Charity shops, local markets (East Street, Elephant and Castle, Brixton, Lower Marsh)Cultural and social attractions (art gallery, theatre, bars)Southwark LibraryOpen green spaces (Kennington Park, Burgess Park)-Situated walking distance to Kings College Hospital, London College of Communications (LCC), London South Bank University (LSBU), Camberwell College of Arts (CCA), London School of Commerce (LSC), Kaplan Financial Training College (FTC), London College of Accountancy (LCA), and well placed with a short travelling time to the London School of Economics (LSE), Kings College (KCL), University College London (UCL), City University, Chelsea College of Art and Design (CCA), London Metropolitan University and London Guildhall.Please note that this letting is available to full time employed persons or responsible students with full time employed UK rental guarantors; if no there are no UK rental guarantors, rent will be payable according to an agreed schedule. A minimum of five week's deposit will be required to proceed.                            ","£2,650.00","£2,296.67",No,             View Offers         ,No,No,No,No,No,"26 August, 2023",12 Months,No,No,No,No,Furnished,C,"[['                                        Kennington                                    ', '                                        13 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        17 minute walk                                    '], ['                                        Oval                                    ', '                                        17 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        18 minute walk                                    ']]",,,,
"2 Bed Flat, John Ruskin Street, SE5","                                An extremely spacious and modern two double bedroom ground floor flat located near Elephant and Castle (Zone 1), Oval, Kennington (Zone 2) and Camberwell is available to rent.Key features:-Excellent transport links - Oxford Circus, Piccadilly Circus, Kings Cross, London Bridge, Bank, Holborn, Liverpool Street are all only around 10-15 minutes away from the nearest underground station!Trains: Elephant & Castle (Zone 1) and Oval (Zone 2) tube stations are approximately a 10 minute walk or a short bus ride away allowing access to the Bakerloo line and Northern line as well as the Thameslink line direct to Kings Cross (Eurostar), Gatwick and Luton Airports. Buses: Many buses and night buses stop outside only two minutes away from the flat (12, 35, N35, 40, 42, 45, 68, N68, N89, N136, 148, 171, N171, 176, N176, 468, P5) travelling directly into Central London (Piccadilly Circus, Oxford Circus, Covent Garden, Holborn), the City (St Paul's, Bank, Liverpool Street, Hoxton, Shoreditch), Notting Hill, Clapham, Kings Cross, Victoria, London Bridge and Waterloo-Situated in a newly built apartment block-A massive open plan living space-Own entrance-Ample storage space-On street parking with parking permits available-Double glazed windows throughout-Fully fitted kitchen with fridge/ freezer, dishwasher, washing machine, oven and hob with extractor hood-Modern bathroom -Wooden flooring in the reception / kitchen, carpeted bedrooms-Available either furnished or unfurnished-Managed by a friendly, reliable landlord who can be contacted seven days a week-No agency fees to pay as this is a private letting- Convenient location - close (walking distance) to the following local shops and amenities:Shops: Marks and Spencer, Argos, Boots, Superdrug, Tesco Express, Morrison's, Iceland, Holland and Barrett, Blockbuster, Carphone Warehouse, Phones 4U), W H SmithBanks: Natwest, Barclays, Nationwide, Abbey National, HSBCPost OfficeFitness First Gym, Burgess Park tennis courtsRestaurants and cafes (Italian, Thai, Indian, Chinese, Middle Eastern, South American, French)Charity shops, local markets (East Street, Elephant and Castle, Brixton, Lower Marsh)Cultural and social attractions (art gallery, theatre, bars)Southwark LibraryOpen green spaces (Kennington Park, Burgess Park)-Situated walking distance to Kings College Hospital, London College of Communications (LCC), London South Bank University (LSBU), Camberwell College of Arts (CCA), London School of Commerce (LSC), Kaplan Financial Training College (FTC), London College of Accountancy (LCA), and well placed with a short travelling time to the London School of Economics (LSE), Kings College (KCL), University College London (UCL), City University, Chelsea College of Art and Design (CCA), London Metropolitan University and London Guildhall.Please note that this letting is available to full time employed persons or responsible students with full time employed UK rental guarantors; if no there are no UK rental guarantors, rent will be payable according to an agreed schedule. A minimum of five week's deposit will be required to proceed.                            ","£2,650.00","£2,296.67",No,             View Offers         ,No,No,No,No,No,"03 September, 2023",12 Months,No,No,No,No,Furnished,C,"[['                                        Kennington                                    ', '                                        13 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        17 minute walk                                    '], ['                                        Oval                                    ', '                                        17 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        18 minute walk                                    ']]",,,,
"1 Bed Flat, Garrett Mansions, W2"," 1st floor - 1 bedroom - 561sq ft - 1 bathroom â¨Broadband, CCTV, Available furnished or unfurnished, Gardens, Gym / Spa, Lifts, Parking, Pool, Porter, Sports Facilities, Video Entry, WifiA luxurious interior designed one-bedroom 1st floor apartment set over 561 SqFt comprising a large open-plan reception room leading onto a private balcony.The fully integrated kitchen with appliances from Siemens and Miele including oven and induction hobs, large fridge freezer and dishwasher and wine chiller all inset into a composite stone work tops. The apartment has two double bedrooms with the master including an En-suite and a family bathroom. The whole apartment also benefits from comfort cooling.This apartment comes complete with large Samsung Smart TVs and Samsung sound bar and is offered with full use of the onsite facilities including Gym, pool, residence lounge area, privet dining room, conference facilities, 24 hour concierge and Cinema room. The apartment is ready to move into with internet already connected. Newly built and interior designed Every apartments benefits from outside space Available furnished or unfurnishedCinema and conference facilities Car Parking and Bike Storage facilities Swimming Pool, Sauna and Steam room facilitiesTransport nearby ð Edgware Road - 0.2 miles   (4 minute walk)London Paddington - 0.4 miles   (8 minute walk)Marylebone - 0.4 miles   (8 minute walk)Paddington - 0.4 miles   (8 minute walk)London Marylebone - 0.4 miles. (8 minute walk)Tenants also benefit from a dedicated building manager who is on hand to assist with any property related issues. We also employ a dedicated team of maintenance experts and provide a 24-hour emergency helpline ð² ","£4,255.33","£4,255.33",No,             View Offers         ,No,No,No,No,No,Today,6 Months,No,No,No,No,At tenant choice,,"[['                                        Edgware Road (Bakerloo)                                    ', '                                        2 minute walk                                    '], ['                                        Edgware Road (Circle)                                    ', '                                        5 minute walk                                    '], ['                                        Paddington (Hammersmith & City)                                    ', '                                        10 minute walk                                    '], ['                                        Paddington (Bakerloo, District and Circle)                                    ', '                                        10 minute walk                                    ']]",,,,Property is a listed building
"2 Bed Flat, Cleveland Mansions, SW9"," AMAZING LOCATION - CHARACTERFUL VICTORIAN MANSION BLOCK - TWO DOUBLE BEDROOMS - AVAILABLE JULY 2023 Occupying one half of the first floor, in a late Victorian mansion block, this bright home is charming and characterful and in a fantastic location. Immaculately presented, featuring high ceilings, restored wooden flooring, original sash windows throughout and brand new shutters for lower half of the windows. The property comprises a generous front reception room, dual aspect South facing kitchen/dining area, two comfortable double bedrooms and a neutral bathroom. There is also plenty of storage room, including hallway cupboards and a kitchen larder. Each of the spacious rooms benefit from an abundance of natural light and have been tastefully decorated. The two chimney breasts feature original fireplaces which add a lovely charm to this property.Additional benefits include a communal garden to the rear, an allocated external storage shed, secure entry system and gas central heating.Located on a quiet, leafy street near Kennington Park, the flat has excellent transport links (Northern and Victorian line), a busy Saturday farmersâ market and an appealing, eclectic range of local shops, restaurants and bars â including Cafe Van Gogh, Cable CafÃ©, SW9 Sushi, Crown & Anchor brew pub, and a friendly greengrocer â just 2 minutesâ walk away. Also close by are the thriving social scenes of Camberwell, Brixton and Vauxhall.Friendly landlord lives locally. This is an ideal flat for a single, couple or two professional sharers. Tenants will be subject to credit reference and one month's deposit. ","£2,300.00","£2,300.00",No,             View Offers         ,No,No,No,No,No,Today,6 Months,,No,No,No,Unfurnished,D,"[['                                        Oval                                    ', '                                        9 minute walk                                    '], ['                                        Stockwell                                    ', '                                        13 minute walk                                    '], ['                                        Nine Elms                                    ', '                                        18 minute walk                                    '], ['                                        Kennington                                    ', '                                        18 minute walk                                    ']]",,,,
"3 Bed Terraced House, Trafalgar Street, SE17","                                A rare and beautifully presented 3 bedroom, 2 bathroom family home. Spread over three floors, this spacious Victorian house was recently renovated and interior-designed to the highest standard, and benefiting from a secluded patio, working fireplace, ample storage, and high-end appliances & fixtures. All three bedrooms are large, of which one has an en-suite bathroom. Available to move-in for end of September (earlier date could potentially be agreed), this zone 1 house is within an easy reach to the City. Located on a leafy residential street with off-street parking, and within a walking distance to two tube stations, moments from bus stops, the cafes and shops of the regeneration area, and within a short walk to the lovely Burgess Park. Viewing will be held on Saturday July 15th.                            ","£3,499.00","£3,499.00",No,             View Offers         ,No,No,No,No,No,"01 September, 2023",24 Months,,No,No,No,Furnished,E,"[['                                        Elephant & Castle                                    ', '                                        17 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        18 minute walk                                    '], ['                                        Kennington                                    ', '                                        18 minute walk                                    '], ['                                        Borough                                    ', '                                        25 minute walk                                    ']]",,,,
"Room in a Shared House, Tresham Crescent, NW8","                                Femails only!!!!En-suit  bedroom in newly refurbished property. Ecellent location in Central London,only 10 minutes walking from Baker Street Station and 5 minutes from Marylebone Station..Kichen with private garden..Fully furnished.                            ",£438.46,£950.00,No,             View Offers         ,No,No,No,No,No,Today,3 Months,,No,No,No,Furnished,,"[['                                        Marylebone                                    ', '                                        7 minute walk                                    '], ['                                        London Marylebone                                    ', '                                        8 minute walk                                    '], ['                                        Baker Street                                    ', '                                        12 minute walk                                    '], ['                                        Edgware Road (Bakerloo)                                    ', '                                        12 minute walk                                    ']]",,,,Shared Accommodation
"3 Bed Flat, London, SE5"," A spacious, modern three double bedroom, two bathroom (one en-suite) flat, located near Elephant and Castle (Zone 1), Oval, Kennington (Zone 2) and Camberwell is available to rent.Key features:-Excellent transport links - Oxford Circus, Piccadilly Circus, Kings Cross, London Bridge, Bank, Holborn, Liverpool Street are all only around 10-15 minutes away!Trains: Elephant & Castle (Zone 1) and Oval (Zone 2) tube stations are approximately a 10 minute walk or a short bus ride away allowing access to the Bakerloo line and Northern line as well as the Thameslink line direct to Kings Cross (Eurostar), Gatwick and Luton Airports. Buses: Many buses and night buses stop outside only two minutes away from the flat (12, 35, N35, 40, 42, 45, 68, N68, N89, N136, 148, 171, N171, 176, N176, 468, P5) travelling directly into Central London (Piccadilly Circus, Oxford Circus, Covent Garden, Holborn), the City (St Paul's, Bank, Liverpool Street, Hoxton, Shoreditch), Notting Hill, Clapham, Kings Cross, Victoria, London Bridge and Waterloo-Situated in a newly built apartment block-Secure entry-phone system-CCTV in communal areas-Ample storage space-On street parking with parking permits available-Double glazed windows throughout and underfloor heating-A spacious 21ft open plan reception-Fully fitted kitchen with dishwasher, fridge/ freezer, washing machine, oven and hob with extractor hood-Modern bathroom -Wooden flooring in the reception / kitchen, carpeted bedrooms-Wooden venetian blinds-Available either furnished or unfurnished-Managed by a friendly, reliable landlord who can be contacted seven days a week-No agency fees to pay as there are no agencies involved- Convenient location - close (walking distance) to the following local shops and amenities:Shops: Marks and Spencer, Argos, Boots, Superdrug, Tesco Express, Morrison's, Iceland, Holland and Barrett, Blockbuster, Carphone Warehouse, Phones 4U)Banks: Natwest, Barclays, Nationwide, Abbey National, HSBCPost OfficeFitness First Gym, Burgess Park tennis courtsRestaurants and cafes (Italian, Thai, Indian, Chinese, Middle Eastern, South American, French)Charity shops, local markets (East Street, Elephant and Castle, Brixton, Lower Marsh)Cultural and social attractions (art gallery, theatre, bars)Southwark LibraryOpen green spaces (Kennington Park, Burgess Park)-Situated walking distance to Kings College Hospital, London College of Communications (LCC), London South Bank University (LSBU), Camberwell College of Arts (CCA), London School of Commerce (LSC), Kaplan Financial Training College (FTC), London College of Accountancy (LCA), and well placed with a short travelling time to the London School of Economics (LSE), Kings College (KCL), University College London (UCL), City University, Chelsea College of Art and Design (CCA), London Metropolitan University and London Guildhall.-Views of the London Eye and St Paul's Cathedral from one of the bedroom windows-Suitable for full-time employed professionals or students -12 month contract -The price advertised is for three persons-Rent excludes bills-UK homeowner and/or employed guarantors are required. Should such guarantors not be possible, rent can be paid in advance according to an agreed instalment plan.  ","£3,865.00","£3,349.67",No,             View Offers         ,No,No,No,No,No,"02 September, 2023",12 Months,No,No,No,No,At tenant choice,B,"[['                                        Kennington                                    ', '                                        13 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        16 minute walk                                    '], ['                                        Oval                                    ', '                                        17 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        18 minute walk                                    ']]",,,,
"3 Bed Flat, London, SE5"," A spacious, modern three double bedroom, two bathroom (one en-suite) flat, located near Elephant and Castle (Zone 1), Oval, Kennington (Zone 2) and Camberwell is available to rent.Key features:-Excellent transport links - Oxford Circus, Piccadilly Circus, Kings Cross, London Bridge, Bank, Holborn, Liverpool Street are all only around 10-15 minutes away!Trains: Elephant & Castle (Zone 1) and Oval (Zone 2) tube stations are approximately a 10 minute walk or a short bus ride away allowing access to the Bakerloo line and Northern line as well as the Thameslink line direct to Kings Cross (Eurostar), Gatwick and Luton Airports. Buses: Many buses and night buses stop outside only two minutes away from the flat (12, 35, N35, 40, 42, 45, 68, N68, N89, N136, 148, 171, N171, 176, N176, 468, P5) travelling directly into Central London (Piccadilly Circus, Oxford Circus, Covent Garden, Holborn), the City (St Paul's, Bank, Liverpool Street, Hoxton, Shoreditch), Notting Hill, Clapham, Kings Cross, Victoria, London Bridge and Waterloo-Situated in a newly built apartment block-Secure entry-phone system-CCTV in communal areas-Ample storage space-On street parking with parking permits available-Double glazed windows throughout and underfloor heating-A spacious 21ft open plan reception-Fully fitted kitchen with dishwasher, fridge/ freezer, washing machine, oven and hob with extractor hood-Modern bathroom -Wooden flooring in the reception / kitchen, carpeted bedrooms-Wooden venetian blinds-Available either furnished or unfurnished-Managed by a friendly, reliable landlord who can be contacted seven days a week-No agency fees to pay as there are no agencies involved- Convenient location - close (walking distance) to the following local shops and amenities:Shops: Marks and Spencer, Argos, Boots, Superdrug, Tesco Express, Morrison's, Iceland, Holland and Barrett, Blockbuster, Carphone Warehouse, Phones 4U)Banks: Natwest, Barclays, Nationwide, Abbey National, HSBCPost OfficeFitness First Gym, Burgess Park tennis courtsRestaurants and cafes (Italian, Thai, Indian, Chinese, Middle Eastern, South American, French)Charity shops, local markets (East Street, Elephant and Castle, Brixton, Lower Marsh)Cultural and social attractions (art gallery, theatre, bars)Southwark LibraryOpen green spaces (Kennington Park, Burgess Park)-Situated walking distance to Kings College Hospital, London College of Communications (LCC), London South Bank University (LSBU), Camberwell College of Arts (CCA), London School of Commerce (LSC), Kaplan Financial Training College (FTC), London College of Accountancy (LCA), and well placed with a short travelling time to the London School of Economics (LSE), Kings College (KCL), University College London (UCL), City University, Chelsea College of Art and Design (CCA), London Metropolitan University and London Guildhall.-Views of the London Eye and St Paul's Cathedral from one of the bedroom windowsNote: UK employed homeowner rental guarantors are required; alternatively should no guarantors be available rent will be payable according to an agreed schedule. A small supplement may be required for furnishings. ","£3,864.23","£3,349.00",No,             View Offers         ,No,No,No,No,No,"02 September, 2023",6 Months,No,No,No,No,At tenant choice,B,"[['                                        Kennington                                    ', '                                        13 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        16 minute walk                                    '], ['                                        Oval                                    ', '                                        17 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        18 minute walk                                    ']]",,,,
"3 Bed Flat, London, SE5"," A spacious, modern three double bedroom, two bathroom (one en-suite) flat, located near Elephant and Castle (Zone 1), Oval, Kennington (Zone 2) and Camberwell is available to rent.Key features:-Excellent transport links - Oxford Circus, Piccadilly Circus, Kings Cross, London Bridge, Bank, Holborn, Liverpool Street are all only around 10-15 minutes away!Trains: Elephant & Castle (Zone 1) and Oval (Zone 2) tube stations are approximately a 10 minute walk or a short bus ride away allowing access to the Bakerloo line and Northern line as well as the Thameslink line direct to Kings Cross (Eurostar), Gatwick and Luton Airports. Buses: Many buses and night buses stop outside only two minutes away from the flat (12, 35, N35, 40, 42, 45, 68, N68, N89, N136, 148, 171, N171, 176, N176, 468, P5) travelling directly into Central London (Piccadilly Circus, Oxford Circus, Covent Garden, Holborn), the City (St Paul's, Bank, Liverpool Street, Hoxton, Shoreditch), Notting Hill, Clapham, Kings Cross, Victoria, London Bridge and Waterloo-Situated in a newly built apartment block-Secure entry-phone system-CCTV in communal areas-Ample storage space-On street parking with parking permits available-Double glazed windows throughout and underfloor heating-A spacious 21ft open plan reception-Fully fitted kitchen with dishwasher, fridge/ freezer, washing machine, oven and hob with extractor hood-Modern bathroom -Wooden flooring in the reception / kitchen, carpeted bedrooms-Wooden venetian blinds-Available either furnished or unfurnished-Managed by a friendly, reliable landlord who can be contacted seven days a week-No agency fees to pay as there are no agencies involved- Convenient location - close (walking distance) to the following local shops and amenities:Shops: Marks and Spencer, Argos, Boots, Superdrug, Tesco Express, Morrison's, Iceland, Holland and Barrett, Blockbuster, Carphone Warehouse, Phones 4U)Banks: Natwest, Barclays, Nationwide, Abbey National, HSBCPost OfficeFitness First Gym, Burgess Park tennis courtsRestaurants and cafes (Italian, Thai, Indian, Chinese, Middle Eastern, South American, French)Charity shops, local markets (East Street, Elephant and Castle, Brixton, Lower Marsh)Cultural and social attractions (art gallery, theatre, bars)Southwark LibraryOpen green spaces (Kennington Park, Burgess Park)-Situated walking distance to Kings College Hospital, London College of Communications (LCC), London South Bank University (LSBU), Camberwell College of Arts (CCA), London School of Commerce (LSC), Kaplan Financial Training College (FTC), London College of Accountancy (LCA), and well placed with a short travelling time to the London School of Economics (LSE), Kings College (KCL), University College London (UCL), City University, Chelsea College of Art and Design (CCA), London Metropolitan University and London Guildhall.-Views of the London Eye and St Paul's Cathedral from one of the bedroom windowsNote: UK employed homeowner rental guarantors are required; alternatively should no guarantors be available rent will be payable according to an agreed schedule. A small supplement may be required for furnishings. ","£3,806.53","£3,299.00",No,             View Offers         ,No,No,No,No,No,Today,14 Months,No,No,No,No,At tenant choice,B,"[['                                        Kennington                                    ', '                                        13 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        16 minute walk                                    '], ['                                        Oval                                    ', '                                        17 minute walk                                    '], ['                                        Elephant & Castle                                    ', '                                        18 minute walk                                    ']]",,,,
"3 Bed Maisonette, Pratt Street, NW1"," Recently refurbished period conversion, within walking distance of local transport and amenities further benefits include fully integrated eat in kitchen (dishwasher), en-suite bedroom and full bathroom.Broadband bills are included. Referencing- Professional: A reference letter from your employer is required and your annual salary should be > 3 x rent. - Student: A reference letter from your University is required and 6 month rent payment in advance.  ","£4,900.00","£4,246.67",No,             View Offers         ,No,No,No,No,No,"01 September, 2023",12 Months,No,No,No,No,Furnished,D,"[['                                        Camden Town                                    ', '                                        4 minute walk                                    '], ['                                        Mornington Crescent                                    ', '                                        5 minute walk                                    '], ['                                        Camden Road                                    ', '                                        8 minute walk                                    '], ['                                        London Euston                                    ', '                                        17 minute walk                                    ']]",,,,
"6 Bed Flat, Guildford Road, SW8","                                We are proud to offer this delightful 6 bedroom, 2 bathroom flat in a great location.Available to move in from 01 August 2023, this property benefits from garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£4,200.00 per month (Â£969.23 per week)Deposit / Bond is Â£4,846.15Minimum tenancy is 12 monthsMaximum number of tenants is 6                            ","£4,846.15","£4,200.00",No,             View Offers         ,No,No,No,No,No,"01 August, 2023",12 Months,,No,No,No,Furnished,C,"[['                                        Stockwell                                    ', '                                        7 minute walk                                    '], ['                                        Nine Elms                                    ', '                                        8 minute walk                                    '], ['                                        Vauxhall                                    ', '                                        16 minute walk                                    '], ['                                        Vauxhall                                    ', '                                        16 minute walk                                    ']]",,,,
"1 Bed Flat, One Tower Bridge, SE1","                                Designed by the award winning architects, Darling Associates, this apartment is truly unique with spectacular views of London's skyline. This one bedroom apartment on the floor has floor to ceiling double glazed windows allowing maximum light in and also emphasising the feeling of space. The highest quality fittings and utilities have been installed, including Miele kitchen appliances, under floor heating and comfort cooling and home automated system for lighting and blind control. The bedroom also has built-in full height fitted wardrobes. Stunning views of the river, Tower Bridge and the City. Other benefits include concierge, stunning communal gardens, swimming pool, sauna, gym and golf simulator. Accommodation comprises 1 bedroom, 2 bathrooms, 1 reception room/kitchen area. Available on a furnished basis. EPC D.                            ","£5,769.23","£5,000.00",No,             View Offers         ,No,No,No,No,No,"30 July, 2023",6 Months,No,No,No,No,Furnished,D,"[['                                        London Bridge                                    ', '                                        10 minute walk                                    '], ['                                        London Bridge                                    ', '                                        10 minute walk                                    '], ['                                        Tower Hill                                    ', '                                        13 minute walk                                    '], ['                                        Tower Gateway                                    ', '                                        16 minute walk                                    ']]",,,,
